2022-01-01,周六,8.55℃,0.4℃,晴,南风,2,1.1,https://mirror-earth.com/wea_history/330100/2022-01,杭州
2022-01-02,周日,11.45℃,0.55℃,晴,北风,2,9.4,https://mirror-earth.com/wea_history/330100/2022-01,杭州
2022-01-03,周一,13.95℃,1.3℃,多云,东南风,2,9.4,https://mirror-earth.com/wea_history/330100/2022-01,杭州
2022-01-04,周二,11.1℃,1.15℃,阴,东北风,2,5.3,https://mirror-earth.com/wea_history/330100/2022-01,杭州
2022-01-05,周三,10.8℃,5.65℃,毛毛雨,西北风,3,3.5,https://mirror-earth.com/wea_history/330100/2022-01,杭州
2022-01-06,周四,8.6℃,5.3℃,阴,北风,3,2.7,https://mirror-earth.com/wea_history/330100/2022-01,杭州
2022-01-07,周五,9.7℃,1.8℃,阴,北风,2,7.2,https://mirror-earth.com/wea_history/330100/2022-01,杭州
2022-01-08,周六,9.45℃,2.9℃,阴,东北风,2,5.8,https://mirror-earth.com/wea_history/330100/2022-01,杭州
2022-01-09,周日,7.2℃,4.95℃,毛毛雨,东北风,2,0.0,https://mirror-earth.com/wea_history/330100/2022-01,杭州
2022-01-10,周一,9.05℃,3.95℃,毛毛雨,北风,3,5.5,https://mirror-earth.com/wea_history/330100/2022-01,杭州
2022-01-11,周二,7.3℃,-0.6℃,阴,北风,3,9.1,https://mirror-earth.com/wea_history/330100/2022-01,杭州
2022-01-12,周三,8.85℃,-1.2℃,晴,东南风,2,9.5,https://mirror-earth.com/wea_history/330100/2022-01,杭州
2022-01-13,周四,5.45℃,-0.3℃,阴,西北风,4,5.4,https://mirror-earth.com/wea_history/330100/2022-01,杭州
2022-01-14,周五,7.1℃,-2.4℃,晴,东风,2,6.6,https://mirror-earth.com/wea_history/330100/2022-01,杭州
2022-01-15,周六,11.85℃,0.15℃,晴,西南风,2,9.5,https://mirror-earth.com/wea_history/330100/2022-01,杭州
2022-01-16,周日,11.8℃,4.45℃,多云,东北风,3,6.4,https://mirror-earth.com/wea_history/330100/2022-01,杭州
2022-01-17,周一,11.25℃,5.15℃,多云,东风,2,0.1,https://mirror-earth.com/wea_history/330100/2022-01,杭州
2022-01-18,周二,13.15℃,3.85℃,阴,东风,3,9.0,https://mirror-earth.com/wea_history/330100/2022-01,杭州
2022-01-19,周三,15.6℃,1.65℃,阴,西北风,2,9.6,https://mirror-earth.com/wea_history/330100/2022-01,杭州
2022-01-20,周四,9℃,4.05℃,阴,东北风,3,2.3,https://mirror-earth.com/wea_history/330100/2022-01,杭州
2022-01-21,周五,10.3℃,3.2℃,阴,东风,3,5.5,https://mirror-earth.com/wea_history/330100/2022-01,杭州
2022-01-22,周六,9.65℃,6.6℃,毛毛雨,东风,2,0.0,https://mirror-earth.com/wea_history/330100/2022-01,杭州
2022-01-23,周日,9.5℃,7.4℃,毛毛雨,北风,3,0.0,https://mirror-earth.com/wea_history/330100/2022-01,杭州
2022-01-24,周一,7.7℃,6.15℃,毛毛雨,北风,3,0.0,https://mirror-earth.com/wea_history/330100/2022-01,杭州
2022-01-25,周二,7.05℃,4.8℃,毛毛雨,东北风,2,0.2,https://mirror-earth.com/wea_history/330100/2022-01,杭州
2022-01-26,周三,6.8℃,5.2℃,小雨,东北风,3,0.0,https://mirror-earth.com/wea_history/330100/2022-01,杭州
2022-01-27,周四,6.75℃,4.5℃,毛毛雨,北风,3,0.0,https://mirror-earth.com/wea_history/330100/2022-01,杭州
2022-01-28,周五,4.35℃,1.2℃,大雪,北风,3,0.0,https://mirror-earth.com/wea_history/330100/2022-01,杭州
2022-01-29,周六,3.15℃,0.9℃,中雪,北风,3,0.0,https://mirror-earth.com/wea_history/330100/2022-01,杭州
2022-01-30,周日,5.7℃,-0.05℃,阴,西北风,3,4.1,https://mirror-earth.com/wea_history/330100/2022-01,杭州
2022-01-31,周一,7.55℃,-2.15℃,晴,西风,2,6.7,https://mirror-earth.com/wea_history/330100/2022-01,杭州
2022-02-01,周二,5.8℃,2.95℃,多云,东北风,3,0.6,https://mirror-earth.com/wea_history/330100/2022-02,杭州
2022-02-02,周三,2.8℃,0.75℃,中雪,北风,3,0.0,https://mirror-earth.com/wea_history/330100/2022-02,杭州
2022-02-03,周四,4.9℃,0.65℃,中雪,北风,3,0.0,https://mirror-earth.com/wea_history/330100/2022-02,杭州
2022-02-04,周五,8.05℃,0.75℃,阴,北风,2,6.7,https://mirror-earth.com/wea_history/330100/2022-02,杭州
2022-02-05,周六,7℃,-2.2℃,阴,北风,3,9.8,https://mirror-earth.com/wea_history/330100/2022-02,杭州
2022-02-06,周日,6.2℃,-2.5℃,晴,东北风,2,6.8,https://mirror-earth.com/wea_history/330100/2022-02,杭州
